name,position,b,t,class,school,division,state,hometown,stats_link
Spencer Marcus,OF,R,R,Senior,Niagara University,NCAA: Division 1,NY,"Chatham-Kent, Ontario",
Weston Markle,RHP,,,Junior,Indiana Tech,NAIA,IN,"Hamilton, Ontario",
Leo Markotic,INF/OF,R,R,Junior,"Texas A&M University, Corpus Christi",NCAA: Division 1,TX,"Toronto, Ontario",
Jack Marlin,UTL,R,R,Sophomore,Midway University,NAIA,KY,Alberta,https://naiastats.prestosports.com/sports/bsb/2021-22/players/jackmarlin49m1?view=profile
Zach Marriott,IF,L,R,Sophomore,Hendrix College,NCAA: Division 3,AR,"Oakville, Ontario",
Aaron Marsh,INF,L,R,Freshman,Cochise,JUCO: Division 1,AZ,"Nanaimo, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div1/players/aaronmarshs08v?view=profile
Benjamin Marsh,LHP,L,L,Senior,State University of New York at Oneonta,NCAA: Division 3,NY,"Halifax, Nova Scotia",
Eric Martin,RHP/OF,,,Freshman,Abilene Christian University,NCAA: Division 1,TX,"Elmira, Ontario",
Daniel Martin,OF,L,R,Sophomore,University of New Mexico,NCAA: Division 1,NM,"Langley, British Columbia",
Gabriel Martinez,C/1B,,,Freshman,Western Oklahoma State,JUCO: Division 2,OK,"Ile Perrot, Quebec",
Edwin Martinez,C,R,R,Sophomore,Genesee,JUCO: Division 3,NY,"Guelph, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div3/players/edwinmartinezeh58?view=profile
Aidan Massad,RHP,,,Junior,Alderson Broaddus University,NCAA: Division 2,WV,"Leamington, Ontario",
Maddux Mateychuk,RHP,R,R,Sophomore,Campbellsville University,NAIA,KY,"Dominion City, Manitoba",https://naiastats.prestosports.com/sports/bsb/2021-22/players/madduxmateychukb9kb?view=profile
Mackenzie Mather,C,R,R,Junior,State University of New York at Canton,NCAA: Division 3,NY,"Kemptville, Ontario",
CJ Maury,2B/SS,R,R,Sophomore,Wayne State University,NCAA: Division 2,MI,"Brampton, Ontario",
Kyle Maves,OF,L,R,Senior,Quinnipiac University,NCAA: Division 1,CT,"Burlington, Ontario",
Aidan Maxwell,RHP/INF,R,R,Freshman,State University of New York at Cobleskill,NCAA: Division 3,NY,"Newport, N.Y.",
Drizzt Maxwell,P,,,Freshman,"University of Pittsburgh, Greensburg",NCAA: Division 3,PA,"Kerwood, Ontario",
Brayden Mayencourt,INF,,,Freshman,Columbia Basin,NW Athletic Conference,WA,"Langley, British Columbia",
RJ Mayor,OF,R,R,Freshman,Mineral Area,JUCO: Division 1,MO,"Burlington, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div1/players/rjmayor1y4a?view=profile
Aidan McAskie,INF,,,Freshman,Chattanooga State,JUCO: Division 1,TN,"Toronto, Ontario",
Nathan McCabe,C,L,R,Freshman,Morehead State University,NCAA: Division 1,KY,"Oshawa, Ontario",
David McCabe,INF,S,R,Sophomore,"University of North Carolina, Charlotte",NCAA: Division 1,NC,"Oshawa, Ontario",
Ryan McCarthy,OF,L,R,Freshman,Butte College,California CC,CA,"Delta, British Columbia",
Ethan McCarthy,C,,,Freshman,Houghton College,NCAA: Division 3,NY,"Bowmanville, Ontario",
Caleb McCloskey,RHP,R,R,Freshman,Mohawk Valley,JUCO: Division 3,NY,-,https://www.njcaa.org/sports/bsb/2021-22/div3/players/calebmccloskeysr4p?view=profile
Jared McCorrister,IF/C,,,Senior,Mayville State University,NAIA,ND,"Boissevain, Manitoba",https://naiastats.prestosports.com/sports/bsb/2021-22/players/jaredmccorrister56mi?view=profile
Spencer McDonell,OF,R,R,Freshman,John Carroll University,NCAA: Division 3,OH,"Toronto, Ontario",
Brogan McDougall,RHP,R,R,Junior,William Jewell College,NCAA: Division 2,MO,"White Rock, British Columbia",
Micah McDowell,OF,L,R,Sophomore,Oregon State University,NCAA: Division 1,OR,"Halifax, Nova Scotia",
Matt McEachern,OF,L,R,Sophomore,Lourdes University,NAIA,OH,"Burlington, Ontario",https://naiastats.prestosports.com/sports/bsb/2021-22/players/mattmceachernueih?view=profile
Dustin McElwain,OF,R,R,Freshman,William Jessup University,NAIA,CA,"Richmond, British Columbia",https://naiastats.prestosports.com/sports/bsb/2021-22/players/dustinmcelwainwz7g?view=profile
Riley McErlean,C,R,R,Junior,The College of Wooster,NCAA: Division 3,OH,"Toronto, Ontario",
Ryan McFarland,RHP,R,R,Freshman,Campbellsville University,NAIA,KY,"Calgary, Alberta",
Noel McGarry-Doyle,OF,L,R,Sophomore,Southeastern,JUCO: Division 2,IA,"Vaughan, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div2/players/noelmcgarrydoyle14uj?view=profile
Kayne McGee,IF,R,R,Junior,West Liberty University,NCAA: Division 2,WV,"Mississippi Mills, Ontario",
Jonny McGill,OF,L,R,Freshman,University of British Columbia,NAIA,BC,"Richmond, British Columbia",https://naiastats.prestosports.com/sports/bsb/2021-22/players/jonnymcgill1ck0?view=profile
Joel McGrath,RHP,R,R,Sophomore,Colby,JUCO: Division 1,KS,"Kindersley, Saskatchewan",https://www.njcaa.org/sports/bsb/2021-22/div1/players/joelmcgrath9fly?view=profile
Nicholas McGrayne,C,R,R,Freshman,Lake Region State,JUCO: Division 2,ND,"Prince Edward County, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div2/players/nicholasmcgrayneihw8?view=profile
Payton McHarg,OF/RHP,R,L,Freshman,Kansas City Kansas,JUCO: Division 1,KS,"Saskatoon, Saskatchewan",
Tyson McInnes,RHP,R,R,Freshman,Edmonds,NW Athletic Conference,WA,"Squamish, British Columbia",
Riley McKinnon,RHP,R,R,Sophomore,Marshalltown,JUCO: Division 1,IA,"Burlington, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div1/players/rileymckinnon80lx?view=profile
Duncan McLaughlin,RHP,R,R,Sophomore,Panola,JUCO: Division 1,TX,Nova Scotia,https://www.njcaa.org/sports/bsb/2021-22/div1/players/duncanmclaughling6jk?view=profile
Davis McMillan,OF,,,Sophomore,Houghton College,NCAA: Division 3,NY,"Oshawa, Ontario",
Shaye McTavish,RHP/ING,L,R,Freshman,University of Mary,NCAA: Division 2,ND,"Lethbridge, Alberta",
Tyler McWillie,RHP/1B,,,Junior,Shorter University,NCAA: Division 2,GA,"Watrous, Saskatchewan",
David Mendham,INF/C,L,R,Senior,Oklahoma State University,NCAA: Division 1,OK,"Dorchester, Ontario",
Nelson Mercado,3B/RHP,,,Freshman,Connors State,JUCO: Division 1,OK,"Brampton, Ontario",
Daniel Mercandelli,RHP,R,R,Sophomore,Lake Region State,JUCO: Division 2,ND,"Cranbrook, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div2/players/danielmercandelli9lt6?view=profile
Ludovic Messier,,,,Freshman,Morton,JUCO: Division 2,IL,Quebec,
Giordano Mezzomo,LHP,,,Sophomore,Cloud County,JUCO: Division 1,KS,"Vancouver, British Columbia",
Mitchell Middlemiss,OF,R,R,Freshman,University of British Columbia,NAIA,BC,"Chilliwack, British Columbia",https://naiastats.prestosports.com/sports/bsb/2021-22/players/mitchellmiddlemissqwqg?view=profile
Kevin Millar,P,,,Freshman,"University of St. Thomas, Minnesota",NCAA: Division 3,MN,"Georgetown, Ontario",
Theo Millas,RHP,R,R,Sophomore,West Virginia University,NCAA: Division 1,WV,"Burnaby, British Columbia",
Michael Millross,UTL,L,R,Freshman,Elmira College,NCAA: Division 3,NY,"Ottawa, Ontario",
Malcolm Mingo,,,,Freshman,Douglas,NW Athletic Conference,BC,"Delta, British Columbia",
Sam Mitcham,C/OF,R,R,Sophomore,Muskegon,JUCO: Division 2,MI,"Whitby, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div2/players/sammitchamyt0w?view=profile
James Mitchell,,,,Freshman,Douglas,NW Athletic Conference,BC,"Surrey, British Columbia",
Owen Mitchell,RHP,,,Freshman,Garden City,JUCO: Division 1,KS,"Kitchener, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div1/players/owenmitchellxm3q?view=profile
Max Mitzel,INF,,,Freshman,Colorado Northwestern,JUCO: Division 1,CO,"Port Coquitlam, British Columbia",
Jack Moir,C,R,R,Sophomore,Itasca,JUCO: Division 3,MN,"Winnipeg, Manitoba",
Jack Moncur,IF,R,R,Senior,Rensselaer Polytechnic Institute,NCAA: Division 3,NY,"Burlington, Ontario",
Gabriel Monterrey,INF,,,Sophomore,Roane State,JUCO: Division 1,TN,Ontario,https://www.njcaa.org/sports/bsb/2021-22/div1/players/gabrielmonterrey3e74?view=profile
Jackson Moon,RHP,R,R,Freshman,Trevecca Nazarene University,NCAA: Division 2,TN,"Chatham, Ontario",
Wesley Moore,LHP,L,L,Junior,Kansas State University,NCAA: Division 1,KS,"Surrey, British Columbia",
Deagen Morcom,OF,R,R,Sophomore,McCook,JUCO: Division 1,NE,"Winnipeg, Manitoba",
Steven Moretto,INF,R,R,Senior,Sacramento State University,NCAA: Division 1,CA,"Coquitlam, British Columbia",
Kevin Morgan,,,,Freshman,Douglas,NW Athletic Conference,BC,"Burnaby, British Columbia",
Tate Morrell,OF,L,R,Senior,Missouri University of Science and Technology,NCAA: Division 2,MO,"Lloydminster, Alberta",
Tyler Mosher,INF,S,R,Sophomore,Davenport University,NCAA: Division 2,MI,"Dutton, Ontario",
Jack Mount,RHP,,,Freshman,Cloud County,JUCO: Division 1,KS,"Val Des Monts, Quebec",
Adlai Muench,OF,,,Freshman,Salem University,NCAA: Division 2,WV,"Martensville, Saskatchewan",
Kenneth Muise,LHP,R,L,Freshman,Williston State,JUCO: Division 2,ND,"Calgary, Alberta",https://www.njcaa.org/sports/bsb/2021-22/div2/players/kennethmuiseetn5?view=profile
Patrick Mulligan,MIF,R,R,Freshman,Cloud County,JUCO: Division 1,KS,"Ottawa, Ontario",
Eric Murchison,UTL,L,R,Freshman,West Valley College,California CC,CA,"Stouffville, Ontario",
Cole Murchison,1B,L,R,Freshman,West Valley College,California CC,CA,"Stouffville, Ontario",
Ethan Murdoch,C/OF,R,R,Freshman,McCook,JUCO: Division 1,NE,"Swift Current, Saskatchewan",
Justin Murray,INF/OF,,,Freshman,Salem University,NCAA: Division 2,WV,"Markham, Ontario",
Josh Myers,OF,L,R,Sophomore,The College of Saint Rose,NCAA: Division 2,NY,"Summerside, Prince Edward Island",
Noah Myers,OF,L,R,Senior,"University of South Carolina, Upstate",NCAA: Division 1,SC,"Tilbury, Ontario",
Isaiah Nanninga,,,,Freshman,Dordt College,NAIA,IA,"Edmonton, Alberta",
Andrew Nantau,IF,L,R,Freshman,Erie,JUCO: Division 3,NY,"Winsor, Ontario",
Owen Napieralski,C,R,R,Junior,"Louisiana State University, Shreveport",NAIA,LA,"Delta, British Columbia",
Kyle Nash,RHP,,,Junior,D'Youville College,NCAA: Division 2,NY,"Ancaster, Ontario",
Dawson Neal,C/1B,L,R,Sophomore,Missouri Valley College,NAIA,MO,"Victoria, British Columbia",
Jack Neil,RHP,R,R,Freshman,Allen County,JUCO: Division 1,KS,"Abbotsford, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div1/players/jackneilrsu4?view=profile
Tory Nelson,IF,R,R,Freshman,Bismarck State,JUCO: Division 2,ND,"Medicine Hat, Alberta",https://www.njcaa.org/sports/bsb/2021-22/div2/players/torynelsonlkbj?view=profile
Blake Nelson,,,,Freshman,Douglas,NW Athletic Conference,BC,-,
Logan Newman,,,,Freshman,Douglas,NW Athletic Conference,BC,"Delta, British Columbia",
Zach Newman,LHP,L,L,Senior,Minot State University,NCAA: Division 2,ND,"Miramichi, New Brunswick",
Jakob Newton,OF,,,Senior,Florida Institute of Technology,NCAA: Division 2,FL,"Oakville, Ontario",
Ethan Nichols,RHP/OF,R,R,Freshman,Saint Michael's College,NCAA: Division 2,VT,"Alderville, Ontario",
Garrett Nicholson,LHP,,,Junior,Minot State University,NCAA: Division 2,ND,"Sydney Mines, Nova Scotia",
Brandon Nicoll,INF,,,Freshman,Southern Arkansas University,NCAA: Division 2,AR,"Langley, British Columbia",
Josh Niles,IF,R,R,Freshman,Canisius College,NCAA: Division 1,NY,"St. Thomas, Ontario",
Shane Nixon,IF,R,R,Junior,University of Central Oklahoma,NCAA: Division 2,OK,"Markham, Ontario",
Drew Nixon,INF,R,R,Senior,Valley City State University,NAIA,ND,"Toronto, Ontario",https://naiastats.prestosports.com/sports/bsb/2021-22/players/drewnixonfl6w?view=profile
Matthew Nolin,LHP,L,L,Junior,Olivet Nazarene University,NAIA,IL,"Mississauga, Ontario",https://naiastats.prestosports.com/sports/bsb/2021-22/players/matthewnolin89e7?view=profile
Mason Nordli,RHP,R,R,Freshman,Lamar,JUCO: Division 1,CO,"Nanaimo, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div1/players/masonnordli0xxe?view=profile
Glenn Noronha,OF,L,R,Freshman,West Texas A&M University,NCAA: Division 2,TX,"Mississauga, Ontario",
Connor North,LHP,,,Freshman,Colorado Northwestern,JUCO: Division 1,CO,"Sooke, British Columbia",
Trevor Nyp,INF,L,R,Freshman,Oakton,JUCO: Division 3,IL,"Eastwood  Kitchener, Ontario",
Connor O'Halloran,LHP,R,L,Sophomore,University of Michigan,NCAA: Division 1,MI,"Mississauga, Ontario",
Ryan O'Halloran,INF,R,R,Junior,Butler University,NCAA: Division 1,IN,"Mississauga, Ontario",
Shaine O'Keefe,RHP,L,R,Sophomore,Southwest Mississippi,JUCO: Division 2,MS,"Toronto, Ontario",
Adrian O'Toole,OF,R,R,Freshman,Bard College,NCAA: Division 3,NY,"Kitchener, Ontario",
Evan O'Toole,RHP/OF,R,R,Sophomore,Iowa Western,JUCO: Division 1,IA,"Bridgewater, Nova Scotia",https://www.njcaa.org/sports/bsb/2021-22/div1/players/evanotoole8w3q?view=profile
Reed Odland,C,L,R,Junior,"University of Arkansas, Monticello",NCAA: Division 2,AR,"Vauxhall, Alberta",
Tyler Offman,1B,L,L,Freshman,New York University,NCAA: Division 3,NY,"Thornhill, Ontario",
Jonah Offman,RHP,-,R,Senior,Johns Hopkins University,NCAA: Division 3,MD,"Thornhill, Ontario",
Ryan Olchoway,RHP,R,R,Sophomore,Northwestern State University,NCAA: Division 1,LA,"Saskatoon, Saskatchewan",
Craig Oliver,IF,,,Sophomore,D'Youville College,NCAA: Division 2,NY,"Fredericton, New Brunswick",
Zach Olson,OF,R,R,Sophomore,Kansas Wesleyan University,NAIA,KS,"Red, Alberta",https://naiastats.prestosports.com/sports/bsb/2021-22/players/zacholsonno5q?view=profile
Darius Opdem Bak,,,,Freshman,Douglas,NW Athletic Conference,BC,"Surrey, British Columbia",
Noah Or,C,R,R,Senior,University of British Columbia,NAIA,BC,"Richmond, British Columbia",https://naiastats.prestosports.com/sports/bsb/2021-22/players/noahorbypw?view=profile
Tristan Osika,INF,S,R,Sophomore,Indiana Tech,NAIA,IN,"Ancaster, Ontario",https://naiastats.prestosports.com/sports/bsb/2021-22/players/tristianosikakw5w?view=profile
Matthew O’Reilly,,,,Freshman,Douglas,NW Athletic Conference,BC,"Qualicum Beach, British Columbia",
Jackson Painter,,,,Sophomore,Bluefield State College,NCAA: Division 2,WV,"Whitby, Ontario",
Tommy Palazoff,INF.,R,R,Freshman,New Mexico,JUCO: Division 1,NM,"Langley, British Columbia",
Griffin Palfrey,INF/RHP,R,R,Freshman,Columbia University,NCAA: Division 1,NY,"Vancouver, British Columbia",
Myles Pallister,RHP,R,R,Sophomore,Niagara University,NCAA: Division 1,NY,"Lacombe, Alberta",
Alex Pallottini,C,R,R,Junior,Lourdes University,NAIA,OH,"Burlington, Ontario",
Derek Palmiere,RHP,R,R,Freshman,Williston State,JUCO: Division 2,ND,"Okotoks, Alberta",https://www.njcaa.org/sports/bsb/2021-22/div2/players/derekpalmiereja0u?view=profile
Tre Pankratz,OF,L,L,Junior,San Diego Christian College,NAIA,CA,"Abbotsford, British Columbia",https://naiastats.prestosports.com/sports/bsb/2021-22/players/trepankratzfkmg?view=profile
Matthew Panzica,OF,L,R,Freshman,Ventura College,California CC,CA,"Vaughan, Ontario",
Sukhbir Parmar,RHP,,,Freshman,Salem University,NCAA: Division 2,WV,"Markham, Ontario",
Julian Parson,RHP,R,R,Freshman,"University of South Carolina, Upstate",NCAA: Division 1,SC,"Mississauga, Ontario",
Jaden Parsons,SS,L,R,Sophomore,University of Central Oklahoma,NCAA: Division 2,OK,"Vernon, British Columbia",
Billy Patmore,,R,R,Freshman,Dakota,JUCO: Division 2,ND,"Pipestone, Manitoba",https://www.njcaa.org/sports/bsb/2021-22/div2/players/billypatmore7mtp?view=profile
Tylar Patrick,,,,Freshman,Northampton,JUCO: Division 3,PA,"Barrie, Ontario",
Jordan Peck,LHP/OF,L,L,Junior,Northwest Missouri State University,NCAA: Division 2,MO,"Winnipeg, Manitoba",
Raphael Pelletier,C,L,R,Freshman,Kansas State University,NCAA: Division 1,KS,"Mascouche, Quebec",
Zach Penner,RHP,,,Freshman,D'Youville College,NCAA: Division 2,NY,"Leamington, Ontario",
Rylan Penner,RHP,R,R,Freshman,Williston State,JUCO: Division 2,ND,"Blumenort, Manitoba",https://www.njcaa.org/sports/bsb/2021-22/div2/players/rylanpennerldd7?view=profile
Ty Penner,IF,L,R,Sophomore,University of British Columbia,NAIA,BC,"Lethbridge, Alberta",https://naiastats.prestosports.com/sports/bsb/2021-22/players/typennertw2j?view=profile
Noah Penney,RHP,R,R,Junior,Tiffin University,NCAA: Division 2,OH,"Sherwood Park, Alberta",
Braden Perozny,,,,Freshman,Douglas,NW Athletic Conference,BC,"Surrey, British Columbia",
Alessandro Perreault,OF/RHP,,,Freshman,Western Oklahoma State,JUCO: Division 2,OK,"St-Leonard, Quebec",
Arlen Peters,RHP,R,R,Freshman,Kansas City Kansas,JUCO: Division 1,KS,"Schanzenfeld, Manitoba",
Trent Peters,IF/RHP,R,R,Sophomore,University of Jamestown,NAIA,ND,"Niverville, Manitoba",https://naiastats.prestosports.com/sports/bsb/2021-22/players/trentpeterssihs?view=profile
Corben Peters,RHP,R,R,Senior,Grambling State University,NCAA: Division 1,LA,"Ottawa, Ontario",
Sean Pettener,INF,L,R,Junior,Menlo College,NAIA,CA,"Hamilton, Ontario",https://naiastats.prestosports.com/sports/bsb/2021-22/players/seanpettener0wqh?view=profile
Eric Pettipiece,LHP,L,L,Sophomore,Goshen College,NAIA,IN,"Dorchester, Ontario",
Justin Philp,,,,Freshman,Madonna University,NAIA,MI,"Guelph, Ontario",
Nathan Picchioni,RHP,R,R,Senior,Lawrence Technological University,NAIA,MI,"Tecumseh, Ontario",https://naiastats.prestosports.com/sports/bsb/2021-22/players/nathanpicchionir1m1?view=profile
Duncan Picketts,C,R,L,Freshman,Marshalltown,JUCO: Division 1,IA,"Kensington, Prince Edward Island",https://www.njcaa.org/sports/bsb/2021-22/div1/players/duncanpicketts2dmi?view=profile
Chad Picton,INF,R,R,Freshman,Tennessee Wesleyan University,NAIA,TN,"Winnipeg, Manitoba",https://naiastats.prestosports.com/sports/bsb/2021-22/players/chadpicton0cwl?view=profile
Joshua Pilgrim,,R,R,Freshman,John Wood,JUCO: Division 2,IL,"Mission, British Columbia",
Justin Pisano,RHP,,,Freshman,Salem University,NCAA: Division 2,WV,"St. Catharines, Ontario",
Émilien Pitre,INF,L,R,Freshman,University of Kentucky,NCAA: Division 1,KY,"Repentigny, Quebec",
Victor Plaz,INF,,,Sophomore,Clarendon,JUCO: Division 1,TX,"Montreal, Quebec",
Adam Plouffe,OF,R,R,Senior,Mars Hill University,NCAA: Division 2,NC,"Toronto, Ontario",
Kyle Poapst,RHP,R,R,Junior,University of Antelope Valley,NAIA,CA,"Lethbridge, Alberta",https://naiastats.prestosports.com/sports/bsb/2021-22/players/kylepoapstmccq?view=profile
Kelan Polard,C,R,R,Freshman,Wake Tech,JUCO: Division 2,NC,"St. Albert, Alberta",https://www.njcaa.org/sports/bsb/2021-22/div2/players/kelanpolardmeav?view=profile
Zane Pollon,LHP,L,L,Junior,Mount Marty College,NAIA,SD,Saskatchewan,
Blake Pongracz,LHP,R,L,Sophomore,Pratt,JUCO: Division 1,KS,"Saskatoon, Saskatchewan",https://www.njcaa.org/sports/bsb/2021-22/div1/players/blakepongraczd6m4?view=profile
Tom Poole,OF/RHP,,,Freshman,Cloud County,JUCO: Division 1,KS,"Calgary, Alberta",
Max Poole,RHP,R,R,Junior,Mars Hill University,NCAA: Division 2,NC,"Fort McMurray, Alberta",
Anthony Porcellato,,,,Freshman,Douglas,NW Athletic Conference,BC,"Port Coquitlam, British Columbia",
Matteo Porcellato,INF,L,R,Senior,Marian University,NAIA,IN,"Pitt Meadows, British Columbia",https://naiastats.prestosports.com/sports/bsb/2021-22/players/matteoporcellatof8t0?view=profile
Hunter Porter,UTIL,R,R,Freshman,Morehead State University,NCAA: Division 1,KY,"Parkland County, Alberta",
Brett Porter,OF,L,R,Junior,Clarkson University,NCAA: Division 3,NY,"Red Deer, Alberta",
Joel Portz,RHP,R,R,Freshman,Bismarck State,JUCO: Division 2,ND,"Grand Prairie, Alberta",
Griff Potter,LHP,L,L,Freshman,Western Nebraska,JUCO: Division 1,NE,"Kincardine, Ontario",
Will Potter,LHP,L,L,Sophomore,Western Nebraska,JUCO: Division 1,NE,"Kincardine, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div1/players/willpotteroh73?view=profile
Jacob Potter,RHP,R,R,Senior,Southeastern Oklahoma State University,NCAA: Division 2,OK,"Victoria, British Columbia",
Chris Pouliot,LHP,L,L,Junior,Canisius College,NCAA: Division 1,NY,"Boischatel, Québec",
Ben Prediger,C,R,R,Sophomore,University of Mary,NCAA: Division 2,ND,"Calgary, Alberta",
Gavin Pringle,RHP,R,T,Freshman,Hawaii Pacific University,NCAA: Division 2,HI,"Duncan, British Columbia",
Tyson Pringle,,R,L,Sophomore,Dakota,JUCO: Division 2,ND,"Boissevain, Manitoba",https://www.njcaa.org/sports/bsb/2021-22/div2/players/tysonpringleswc5?view=profile
Otis Pritchett,RHP,R,R,Freshman,University of British Columbia,NAIA,BC,"Vancouver, British Columbia",
Liam Progulske,RHP/3B,,,Sophomore,Florida Institute of Technology,NCAA: Division 2,FL,"Toronto, Ontario",
Keegan Pulford-Thorpe,LHP,L,L,Sophomore,Georgia Highlands,JUCO: Division 1,GA,"Newmarket, Ontario",
Gauthaman Ramesh,SS/2B,R,R,Freshman,Rochester Institute of Technology,NCAA: Division 3,NY,"Markham, Ontario",
Jack Rea,INF,,,Freshman,Colorado Northwestern,JUCO: Division 1,CO,"Edmonton, Alberta",https://www.njcaa.org/sports/bsb/2021-22/div1/players/jackreaw0i3?view=profile
Reece Reading,UT,L,R,Junior,"University of Arkansas, Monticello",NCAA: Division 2,AR,"Listowel, Ontario",
Zack Reid,IF,,,Freshman,West Virginia University Institute of Technology,NAIA,WV,"Mount Pearl, Newfoundland & Labrador",
Dawson Rempel,LHP,R,L,Freshman,Northern State University,NCAA: Division 2,SD,"Altona, Manitoba",
Tanner Rempel,C,R,R,Senior,Colorado Mesa University,NCAA: Division 2,CO,"Abbotsford, British Columbia",
Brady Renneberg,OF/RHP,R,R,Sophomore,Mineral Area,JUCO: Division 1,MO,"Kelowna, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div1/players/bradyrennebergpqq6?view=profile
Tommy Reyes-Cruz,IF,L,L,Senior,Faulkner University,NAIA,AL,"Montreal, Quebec",https://naiastats.prestosports.com/sports/bsb/2021-22/players/tommyreyescruz2g1a?view=profile
Hayden Rhody,RHP,R,R,Freshman,MidAmerica Nazarene University,NAIA,KS,"Thorsby, Alberta",
Mario Ricci,C,S,R,Freshman,University of British Columbia,NAIA,BC,"Burnaby, British Columbia",https://naiastats.prestosports.com/sports/bsb/2021-22/players/marioricci8yh8?view=profile
Noah Richardson,P/1B/OF,,,Senior,Northern Kentucky University,NCAA: Division 1,KY,"Windsor, Ontario",
Jake Richmond-Benner,LHP,L,L,Sophomore,University of British Columbia,NAIA,BC,"Gibsons, British Columbia",https://naiastats.prestosports.com/sports/bsb/2021-22/players/jakerichmondbenners67e?view=profile
Colby Ring,LHP,L,L,Junior,University of Antelope Valley,NAIA,CA,"Langley, British Columbia",https://naiastats.prestosports.com/sports/bsb/2021-22/players/colbyringe7q3?view=profile
Noah Roberts,C,,,Freshman,Arizona Western,JUCO: Division 1,AZ,"Cambridge, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div1/players/noahrobertskcng?view=profile
Ben Roberts,RHP,R,R,Freshman,"University of South Carolina, Upstate",NCAA: Division 1,SC,"Burlington, Ontario",
Mason Robertson,LHP,R,L,Freshman,Allan Hancock College,California CC,CA,"Orilla, Ontario",
Joel Robinson,RHP,R,R,Freshman,Allen County,JUCO: Division 1,KS,"Abbotsford, British Columbia",https://www.njcaa.org/sports/bsb/2021-22/div1/players/joelrobinsonds98?view=profile
Matthew Rogers,RHP,R,R,Freshman,Southwestern,JUCO: Division 1,IA,Ontario,https://www.njcaa.org/sports/bsb/2021-22/div1/players/matthewrogerssl0v?view=profile
Aidan Rose,IF,R,R,Freshman,University of British Columbia,NAIA,BC,"Calgary, Alberta",https://naiastats.prestosports.com/sports/bsb/2021-22/players/aidanrose8veo?view=profile
Greg Ross,RHP,,,Sophomore,Howard (TX),JUCO: Division 1,TX,"Sarnia, Ontario",
Spenser Ross,IF,R,R,Senior,Lawrence University,NCAA: Division 3,WI,"Mississauga, Ontario",
Nate Rosser,RHP,R,R,Freshman,Ohlone College,California CC,CA,"Tsawwassen, British Columbia",
Carter Roth,IF,L,R,Freshman,Colby,JUCO: Division 1,KS,"Stratford, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div1/players/carterroth7ypo?view=profile
Ashton Roy,INF,L,R,Senior,Morehead State University,NCAA: Division 1,KY,"Tottenheim, Ontario",
Julian Russell,P/INF,,,Freshman,Alderson Broaddus University,NCAA: Division 2,WV,"Milton, Ontario",
Luigi Russo,1B,L,R,Junior,Ohio Wesleyan University,NCAA: Division 3,OH,"Kelowna, British Columbia",
Aidan Safar,RHP,R,R,Senior,Rensselaer Polytechnic Institute,NCAA: Division 3,NY,"Toronto, Ontario",
Kyo Sakaguchi,,,,Freshman,Douglas,NW Athletic Conference,BC,-,
Ben Salazar,C,R,R,Freshman,Frontier,JUCO: Division 1,IL,"Waterloo, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div1/players/bensalazar2t61?view=profile
Nico Saldias,RHP,R,R,Freshman,Saint Xavier University,NAIA,IL,"Ajax, Ontario",
Santiago Sanchez,C,,,Freshman,Northwestern Oklahoma State University,NCAA: Division 2,OK,"Kirkland, Quebec",
Steven Sanders,P,,,Senior,University of Charleston,NCAA: Division 2,WV,"Kitchener, Ontario",
Cameron Sanderson,IF,R,R,Freshman,University of British Columbia,NAIA,BC,"London, Ontario",https://naiastats.prestosports.com/sports/bsb/2021-22/players/cameronsandersonhgnm?view=profile
Brady Sandes,RHP/INF,,,Freshman,Simpson University,NAIA,CA,"Surrey, British Columbia",
Ethan Sansaie-Edwards,OF/RHP,R,R,Freshman,St. Clair County,JUCO: Division 2,MI,"Mississauga, Ontario",https://www.njcaa.org/sports/bsb/2021-22/div2/players/ethansansaieedwards4yoo?view=profile
Cristian Santarelli,,,,Freshman,Douglas,NW Athletic Conference,BC,"Burnaby, British Columbia",
Nicolas Santarelli,,,,Freshman,Douglas,NW Athletic Conference,BC,"Burnaby, British Columbia",
Zach Saufl,RHP,R,R,Sophomore,Vanguard University,NAIA,CA,"Oakville, Ontario",https://naiastats.prestosports.com/sports/bsb/2021-22/players/zachsaufloiaf?view=profile
Eli Saul,RHP,L,R,Sophomore,Sacramento State University,NCAA: Division 1,CA,"Vancouver, British Columbia",
Andrew Savage,C,R,R,Freshman,Ventura College,California CC,CA,"Woodstock, Ontario",
